pixel_id,latitude_x,longitude_y,amplitude_onda,curvatura_ricci
381,11,29,254.0,0.0
382,11,30,254.0,0.0
383,11,31,254.0,0.0
384,12,0,254.0,0.0
385,12,1,254.0,0.0
386,12,2,254.0,0.0
387,12,3,254.0,0.0
388,12,4,254.0,0.0
389,12,5,254.0,0.0
390,12,6,254.0,0.0
391,12,7,254.0,0.0
392,12,8,254.0,0.0
393,12,9,254.0,2.2213256
394,12,10,254.0,2.2648313
395,12,11,254.0,1.7155252
396,12,12,254.0,0.0
397,12,13,254.0,0.0
398,12,14,254.0,0.0
399,12,15,254.0,0.0
400,12,16,254.0,0.0
401,12,17,254.0,0.0
402,12,18,254.0,0.0
403,12,19,254.0,0.0
404,12,20,254.0,0.0
405,12,21,254.0,2.219361
406,12,22,254.0,2.1442504
407,12,23,254.0,0.0
408,12,24,254.0,0.0
409,12,25,254.0,0.0
410,12,26,254.0,0.0
411,12,27,254.0,0.0
412,12,28,254.0,0.0
413,12,29,254.0,0.0
414,12,30,254.0,0.0
415,12,31,254.0,0.0
416,13,0,254.0,0.0
417,13,1,254.0,0.0
418,13,2,254.0,0.0
419,13,3,254.0,0.0
420,13,4,254.0,0.0
421,13,5,254.0,0.0
422,13,6,254.0,0.0
423,13,7,254.0,0.0
424,13,8,254.0,0.0
425,13,9,254.0,0.0
426,13,10,254.0,0.0
427,13,11,254.0,0.0
428,13,12,254.0,0.0
429,13,13,254.0,0.07268286
430,13,14,254.0,0.0
431,13,15,254.0,0.0009813309
432,13,16,254.0,0.000490427
433,13,17,254.0,2.018593
434,13,18,254.0,0.059811592
435,13,19,254.0,0.0
436,13,20,254.0,0.001964569
437,13,21,253.0,0.0009813309
438,13,22,254.0,0.001964569
439,13,23,254.0,0.0
440,13,24,254.0,0.0
441,13,25,254.0,0.0
442,13,26,254.0,0.0
443,13,27,254.0,0.0
444,13,28,254.0,0.0
445,13,29,254.0,0.0
446,13,30,254.0,0.0
447,13,31,254.0,0.0
448,14,0,254.0,0.0
449,14,1,254.0,0.0
450,14,2,254.0,0.0
451,14,3,254.0,0.0
452,14,4,254.0,0.0
453,14,5,254.0,0.0
454,14,6,254.0,0.0
455,14,7,254.0,0.0
456,14,8,254.0,0.0
457,14,9,254.0,0.0
458,14,10,254.0,0.0
459,14,11,254.0,0.0
460,14,12,254.0,0.07268286
461,14,13,219.5,2.0471723
462,14,14,254.0,0.07170153
463,14,15,253.5,0.000490427
464,14,16,253.75,2.0176117
465,14,17,3.5,2.3132472
466,14,18,225.25,2.018593
467,14,19,254.0,0.059811592
468,14,20,254.0,0.0009813309
469,14,21,253.5,0.0009832382
470,14,22,254.0,0.0009813309
471,14,23,254.0,0.0
472,14,24,254.0,0.0
473,14,25,254.0,0.0
474,14,26,254.0,0.0
475,14,27,254.0,0.0
476,14,28,254.0,0.0
477,14,29,254.0,0.0
478,14,30,254.0,0.0
479,14,31,254.0,0.0
480,15,0,254.0,0.0
481,15,1,254.0,0.0
482,15,2,254.0,0.0
483,15,3,254.0,0.0
484,15,4,254.0,0.0
485,15,5,254.0,0.0
486,15,6,254.0,0.0
487,15,7,254.0,0.0
488,15,8,254.0,0.0
489,15,9,254.0,0.0
490,15,10,254.0,0.0
491,15,11,254.0,0.0
